@RELATION phones

@ATTRIBUTE value STRING
@ATTRIBUTE class {BLUETOOTH_VERSION,PRICE,CAMERA_FRONT,OS,SCREEN_TYPE,CPU,WIRELESS_CONNECTIVITY,CAMERA_BACK,PRODUCT_SIZE,BATTERY_CAPACITY,NETWORK_3G,GPU,NETWORK_4G,NETWORK_2G,SIM_CARD_TYPE,SCREEN_SIZE,ROM,EXTERNAL_MEMORY,SCREEN_RESOLUTION,CPU_CORES,TITLE,WEIGHT,WIFI,RAM}

@data
"super lcd5 capacitive touchscreen, 16m colors",SCREEN_TYPE
"5.2 inches (~71.1% screen-to-body ratio)",SCREEN_SIZE
"1440 x 2560 pixels (~565 ppi pixel density)",SCREEN_RESOLUTION
"htc google pixel xl 32gb blue",TITLE
"862 €",PRICE
"lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 20(800), 25(1900), 26(850), 28(700), 29(700), 30(2300), 41(2500)",NETWORK_4G
"non-removable li-ion 3450 mah battery",BATTERY_CAPACITY
"12.3 mp, f/2.0, eis (gyro), phase detection & laser autofocus, dual-led (dual tone) flash",CAMERA_BACK
"8 mp, f/2.4, 1/3.2",CAMERA_FRONT
"154.7 x 75.7 x 8.5 mm (6.09 x 2.98 x 0.33 in)",PRODUCT_SIZE
"168 g (5.93 oz)",WEIGHT
"5.5 inches (~71.2% screen-to-body ratio)",SCREEN_SIZE
"android os, v7.1 (nougat)",OS
"htc google pixel xl 32gb silver",TITLE
"htc 10 lte 32gb m10h silver",TITLE
"411 €",PRICE
"lte band 2100 (b1), 850 (b5), 1800 (b3), 2600 (b7), 900 (b8), 800 (b20), 700 (b12), td-lte2600 (b38), td-lte2500 (b41), td-lte2300 (b40), 700 (b28), 1500 (b32)",NETWORK_4G
"htc u play dual sim 32gb white",TITLE
"3 ram",RAM
"405 €",PRICE
"non-removable li-ion 2500 mah battery",BATTERY_CAPACITY
"16 mp, f/2.0, 28mm, ois, phase detection autofocus, dual-led (dual tone) flash",CAMERA_BACK
"16 mp, f/2.0, 27mm, 1",CAMERA_FRONT
"146 x 72.9 x 8 mm (5.75 x 2.87 x 0.31 in)",PRODUCT_SIZE
"5.2 inches (~68.7% screen-to-body ratio)",SCREEN_SIZE
"octa-core (4x2.0 ghz cortex-a53 & 4x1.1 ghz cortex-a53)",CPU_CORES
"htc google pixel xl 32gb black",TITLE
"815 €",PRICE
"htc google pixel xl 128gb black",TITLE
"941 €",PRICE
"htc 10 lte 32gb m10h gold",TITLE
"403 €",PRICE
"apple iphone 7 plus 256gb silver",TITLE
"922 €",PRICE
"apple iphone 6s plus 16gb rose gold",TITLE
"606 €",PRICE
"apple iphone 6s plus 64gb silver",TITLE
"656 €",PRICE
"apple iphone 7 plus 128gb jet black",TITLE
"937 €",PRICE
"apple iphone 7 plus 128gb black",TITLE
"samsung galaxy s8 plus lte 64gb sm-g955f arctic silver",TITLE
"v5.0, a2dp, le, aptx",BLUETOOTH_VERSION
"734 €",PRICE
"lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 17(700), 20(800), 28(700)",NETWORK_4G
"non-removable li-ion 3500 mah battery",BATTERY_CAPACITY
"8 mp, f/1.7, autofocus, 1440p@30fps, dual video call, auto hdr",CAMERA_FRONT
"159.5 x 73.4 x 8.1 mm (6.28 x 2.89 x 0.32 in)",PRODUCT_SIZE
"173 g (6.10 oz)",WEIGHT
"6.2 inches (~84.0% screen-to-body ratio)",SCREEN_SIZE
"1440 x 2960 pixels (~529 ppi pixel density)",SCREEN_RESOLUTION
"mali-g71 mp20",GPU
"exynos 8895 octa",CPU
"android os, v7.0",OS
"octa-core (4x2.3 ghz & 4x1.7 ghz)",CPU_CORES
"samsung galaxy s8 lte 64gb sm-g950f midnight black",TITLE
"5.0, a2dp, le, aptx",BLUETOOTH_VERSION
"612 €",PRICE
"148.9 x 68.1 x 8 mm (5.86 x 2.68 x 0.31 in)",PRODUCT_SIZE
"155 g (5.47 oz)",WEIGHT
"5.8 inches (~83.6% screen-to-body ratio)",SCREEN_SIZE
"1440 x 2960 pixels (~570 ppi pixel density)",SCREEN_RESOLUTION
"samsung galaxy s7 edge duos 32gb sm-g9350 pink",TITLE
"lte band 2100 (b1), 700 (b17), 850 (b5), 700 (b13), 1700/2100 (b4), 1800 (b3), 2600 (b7), 1900 (b2), 800 (b18), 900 (b8), 800 (b20), 1900 (b25), 700 (b12), 800 (b26), td-lte2600 (b38), 800 (b19), td-lte2500 (b41), td-lte2300 (b40), td-lte1900 (b39) sim 1",NETWORK_4G
"non-removable li-ion 3600 mah battery",BATTERY_CAPACITY
"150.9 x 72.6 x 7.7 mm (5.94 x 2.86 x 0.30 in)",PRODUCT_SIZE
"5.5 inches (~76.1% screen-to-body ratio)",SCREEN_SIZE
"samsung galaxy s7 edge duos 32gb sm-g935fd pink",TITLE
"571 €",PRICE
"lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 38(2600), 39(1900), 40(2300), 41(2500)",NETWORK_4G
"samsung galaxy s8 dual sim 64gb sm-g950fd gold",TITLE
"678 €",PRICE
"samsung galaxy s8 dual sim 64gb sm-g950fd midnight black",TITLE
"700 €",PRICE
"samsung galaxy s8 plus lte 64gb sm-g955f midnight black",TITLE
"738 €",PRICE
"samsung galaxy s8 dual sim 64gb sm-g950fd orchid gray",TITLE
"samsung galaxy s7 edge duos 64gb sm-g935fd pink",TITLE
"587 €",PRICE
"samsung galaxy s8 lte 64gb sm-g950f orchid gray",TITLE
"644 €",PRICE
"samsung galaxy s7 edge duos 128gb sm-g935fd black",TITLE
"602 €",PRICE
"samsung galaxy s8 lte 64gb sm-g950f arctic silver",TITLE
"samsung galaxy s8 plus dual sim 64gb sm-g955fd orchid gray",TITLE
"743 €",PRICE
"samsung galaxy s8 plus dual sim 64gb sm-g955fd midnight black",TITLE
"752 €",PRICE
"samsung galaxy s8 plus lte 64gb sm-g955f orchid gray",TITLE
"samsung galaxy s8 plus lte 64gb sm-g9550 midnight black",TITLE
"783 €",PRICE
"sony xperia xz premium dual sim 64gb g8142 black",TITLE
"5.0, a2dp, aptx, le",BLUETOOTH_VERSION
"lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 19(800), 20(800), 26(850), 28(700), 29(700), 32(1500), 38(2600), 39(1900), 40(2300), 41(2500)",NETWORK_4G
"non-removable li-ion 3230 mah battery",BATTERY_CAPACITY
"19 mp, f/2.0, 25mm, eis (gyro), predictive phase detection and laser autofocus, led flash",CAMERA_BACK
"'13 mp, f/2.0, 22mm, 1/3'' sensor size, 1.12'",CAMERA_FRONT
"156 x 77 x 7.9 mm (6.14 x 3.03 x 0.31 in)",PRODUCT_SIZE
"195 g (6.88 oz)",WEIGHT
"5.46 inches (~68.4% screen-to-body ratio)",SCREEN_SIZE
"3840 x 2160 pixels (~807 ppi pixel density)",SCREEN_RESOLUTION
"android 7.1 (nougat)",OS
"sony xperia xz dual sim 64gb f8332 silver",TITLE
"469 €",PRICE
"146 x 72 x 8.1 mm (5.75 x 2.83 x 0.32 in)",PRODUCT_SIZE
"5.2 inches (~70.9% screen-to-body ratio)",SCREEN_SIZE
"android os, v6.0.1 (marshmallow), planned upgrade to v7.0 (nougat)",OS
"sony xperia xz dual sim 64gb f8332 black",TITLE
"sony xperia xa1 ultra dual sim 64gb g3226 white",TITLE
"4.2, a2dp, aptx, le",BLUETOOTH_VERSION
"microsd, up to 256 gb",EXTERNAL_MEMORY
"444 €",PRICE
"'16 mp, f/2.0, 23mm, 1/2.6'' sensor size, ois, autofocus, led flash, 1080p'",CAMERA_FRONT
"165 x 79 x 8.1 mm (6.50 x 3.11 x 0.32 in)",PRODUCT_SIZE
"6.0 inches (~76.1% screen-to-body ratio)",SCREEN_SIZE
"1080 x 1920 pixels (~367 ppi pixel density)",SCREEN_RESOLUTION
"sony xperia xa ultra dual sim 16gb f3216 lime",TITLE
"305 €",PRICE
"21.5 mp, phase detection autofocus, led flash",CAMERA_BACK
"16 mp, 1/2.6",CAMERA_FRONT
"164 x 79 x 8.4 mm (6.46 x 3.11 x 0.33 in)",PRODUCT_SIZE
"202 g (7.13 oz)",WEIGHT
"6.0 inches (~76.6% screen-to-body ratio)",SCREEN_SIZE
"sony xperia xz premium dual sim 64gb g8142 chrome",TITLE
"702 €",PRICE
"sony xperia xz dual sim 64gb f8332 blue",TITLE
"sony xperia z5 dual sim e6683 white",TITLE
"321 €",PRICE
"lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 20(800), 38(2600), 39(1900), 40(2300), 41(2500)",NETWORK_4G
"sony xperia xa1 ultra dual sim 64gb g3226 gold",TITLE
"sony xperia z5 dual sim e6633 green",TITLE
"337 €",PRICE
"sony xperia xa ultra dual sim 16gb f3216 white",TITLE
"sony xperia z5 premium dual sim e6833 gold",TITLE
"438 €",PRICE
"non-removable li-ion 3430 mah battery",BATTERY_CAPACITY
"154.4 x 75.8 x 7.8 mm (6.08 x 2.98 x 0.31 in)",PRODUCT_SIZE
"180 g (6.35 oz)",WEIGHT
"5.5 inches (~71.3% screen-to-body ratio)",SCREEN_SIZE
"2160 x 3840 pixels (~801 ppi pixel density)",SCREEN_RESOLUTION
"sony xperia z5 premium e6853 pink",TITLE
"429 €",PRICE
"lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 20(800), 28(700), 38(2600), 40(2300)",NETWORK_4G
"5.5 inches (~70.4% screen-to-body ratio)",SCREEN_SIZE
"2160 x 3840 pixels (~806 ppi pixel density)",SCREEN_RESOLUTION
"sony xperia z5 premium dual sim e6833 black",TITLE
"sony xperia xz dual sim 64gb f8332 pink",TITLE
"500 €",PRICE
"sony xperia z5 dual sim e6633 gold",TITLE
"327 €",PRICE
"huawei y5 y560-l01 black",TITLE
"huawei p9 lite (2017) dual sim pra-lx1 gold",TITLE
"huawei honor 8 lite dual sim 32gb pra-al00 gold",TITLE
"huawei ascend p8 lite dual sim white",TITLE
"huawei ascend p8 lite dual sim black",TITLE
"176 €",PRICE
"huawei p10 lte 64gb vtr-l29 silver",TITLE
"huawei honor 8 lite dual sim 32gb 4gb ram pra-al00x gold",TITLE
"motorola moto e3 xt1700 black",TITLE
"v4.0, le",BLUETOOTH_VERSION
"139 €",PRICE
"lte band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300), 41(2500)",NETWORK_4G
"removable li-ion 2800 mah battery",BATTERY_CAPACITY
"143.8 x 71.6 x 8.5 mm (5.66 x 2.82 x 0.33 in)",PRODUCT_SIZE
"140.6 g (4.97 oz)",WEIGHT
"5.0 inches (~66.9% screen-to-body ratio)",SCREEN_SIZE
"quad-core 1.0 ghz cortex-a53",CPU_CORES
"caterpillar cat s40 dual sim black",TITLE
"v4.1",BLUETOOTH_VERSION
"347 €",PRICE
"8 mp, 3264 x 2448 pixels, autofocus",CAMERA_BACK
"144.9 x 74.1 x 12.5 mm (5.70 x 2.92 x 0.49 in)",PRODUCT_SIZE
"185 g (6.53 oz)",WEIGHT
"4.7 inches (~56.7% screen-to-body ratio)",SCREEN_SIZE
"caterpillar cat s60 dual sim black",TITLE
"non-removable li-ion 3800 mah battery",BATTERY_CAPACITY
"13 mp, autofocus, dual-led (dual-tone) flash; flir thermal camera (lepton module)",CAMERA_BACK
"147.9 x 73.4 x 12.7 mm (5.82 x 2.89 x 0.5 in)",PRODUCT_SIZE
"a-si ahva capacitive touchscreen, 16m colors",SCREEN_TYPE
"4.7 inches (~56.1% screen-to-body ratio)",SCREEN_SIZE
"adreno 405",GPU
"qualcomm msm8952 snapdragon 617",CPU
"octa-core (4x1.2 ghz cortex-a53 & 4x1.5 ghz cortex-a53)",CPU_CORES
"caterpillar cat b30 dual sim black",TITLE
"v2.1",BLUETOOTH_VERSION
"100 €",PRICE
"li-ion 1000 mah battery",BATTERY_CAPACITY
"2 mp, 1600 x 1200 pixels, autofocus",CAMERA_BACK
"125 x 57 x 22 mm (4.92 x 2.24 x 0.87 in)",PRODUCT_SIZE
"105 g",WEIGHT
"2.0 inches (~17.4% screen-to-body ratio)",SCREEN_SIZE
"320 x 240 pixels (~200 ppi pixel density)",SCREEN_RESOLUTION
"208 mhz",CPU_CORES
"caterpillar cat b25 black",TITLE
"microsd, up to 8 gb",EXTERNAL_MEMORY
"85 €",PRICE
"li-ion 1300 mah battery",BATTERY_CAPACITY
"240 x 320 pixels (~200 ppi pixel density)",SCREEN_RESOLUTION
"mediatek mt6235",CPU
"caterpillar cat s30 dual sim black",TITLE
"196 €",PRICE
"5 mp, 2592 х 1944 pixels, autofocus",CAMERA_BACK
"141.9 x 72.7 x 13.2 mm",PRODUCT_SIZE
"181 g",WEIGHT
"4.5 inches (~56.7% screen-to-body ratio)",SCREEN_SIZE
"480 x 854 pixels (~234 ppi pixel density)",SCREEN_RESOLUTION
"oppo r1100 white",TITLE
"lte band 3(1800), 7(2600), 38(2600), 39(1900), 40(2300)",NETWORK_4G
"non-removable li-ion 1800 mah battery",BATTERY_CAPACITY
"5 mp , autofocus, led flash",CAMERA_BACK
"132 x 65.8 x 9.2 mm",PRODUCT_SIZE
"132 g",WEIGHT
"4.5 inches",SCREEN_SIZE
"480 x 854 pixels (~218 ppi pixel density)",SCREEN_RESOLUTION
"android os, v4.4 (kitkat)",OS
"blackberry classic q20 white",TITLE
"v4.0, a2dp, edr, le",BLUETOOTH_VERSION
"wi-fi 802.11 a/b/g/n, dual-band, hotspot",WIFI
"258 €",PRICE
"lte 800 / 850 / 900 / 1800 / 1900 / 2100 / 2600 (bands 1, 2, 3, 5, 7, 8, 20)",NETWORK_4G
"non-removable li-ion 2515 mah battery",BATTERY_CAPACITY
"8 mp, 3264 x 2448 pixels, autofocus, led flash",CAMERA_BACK
"131 x 72.4 x 10.2 mm (5.16 x 2.85 x 0.40 in)",PRODUCT_SIZE
"177 g (6.24 oz)",WEIGHT
"3.5 inches (~40.8% screen-to-body ratio)",SCREEN_SIZE
"720 x 720 pixels (~294 ppi pixel density)",SCREEN_RESOLUTION
"adreno 225",GPU
"qualcomm msm8960 snapdragon",CPU
"blackberry 10.3.1 os",OS
"dual-core 1.5 ghz krait",CPU_CORES
"blackberry passport white",TITLE
"276 €",PRICE
"lte 850 / 900 / 1800 / 2100 / 2600 (bands 1, 3, 5, 7, 8)",NETWORK_4G
"13 mp, 4128 x 3096 pixels, autofocus, optical image stabilization, led flash",CAMERA_BACK
"2 mp, 720p",CAMERA_FRONT
"128 x 90.3 x 9.3 mm (5.04 x 3.56 x 0.37 in)",PRODUCT_SIZE
"196 g (6.91 oz)",WEIGHT
"4.5 inches (~56.5% screen-to-body ratio)",SCREEN_SIZE
"1440 x 1440 pixels (~453 ppi pixel density)",SCREEN_RESOLUTION
"qualcomm msm8974aa snapdragon 801",CPU
"blackberry 10.3 os",OS
"quad-core 2.26 ghz krait 400",CPU_CORES
"blackberry classic q20 black",TITLE
"blackberry passport black",TITLE
"227 €",PRICE
"blackberry leap gray",TITLE
"126 €",PRICE
"non-removable li-ion 2800 mah battery",BATTERY_CAPACITY
"144 x 72.8 x 9.5 mm (5.67 x 2.87 x 0.37 in)",PRODUCT_SIZE
"170 g (6.00 oz)",WEIGHT
"5.0 inches (~65.7% screen-to-body ratio)",SCREEN_SIZE
"qualcomm msm8960 snapdragon s4 plus",CPU
"blackberry os 10.3.1",OS
"tcl p561u dual sim 16gb 2gb ram white",TITLE
"4.1",BLUETOOTH_VERSION
"lte band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300)",NETWORK_4G
"151 x 85 x 7.3 mm",PRODUCT_SIZE
"150 g",WEIGHT
"ips fl capacitive touchscreen, 16m colors",SCREEN_TYPE
"5.0 inches",SCREEN_SIZE
"720 x 1280 pixels",SCREEN_RESOLUTION
"mtk6735p",CPU
"android 5.1 (lollipop)",OS
"quad-core 1.0 ghz",CPU_CORES
"meizu m5c dual sim 16gb gold",TITLE
"non-removable 3000 mah battery",BATTERY_CAPACITY
"8 mp, f/2.0, autofocus, dual-led (dual tone) flash",CAMERA_BACK
"144 x 70.5 x 8.3 mm (5.67 x 2.78 x 0.33 in)",PRODUCT_SIZE
"5.0 inches (~67.9% screen-to-body ratio)",SCREEN_SIZE
"meizu m5c dual sim 16gb black",TITLE
"alcatel ot-2008g black",TITLE
"v3.0, edr",BLUETOOTH_VERSION
"49 €",PRICE
"removable li-ion 1400 mah battery",BATTERY_CAPACITY
"117 x 61.5 x 12.5 mm",PRODUCT_SIZE
"90 g",WEIGHT
"tn, 256k colors",SCREEN_TYPE
"2.4 inches",SCREEN_SIZE
"alcatel ot-2008g silver",TITLE
"62 €",PRICE
"alcatel ot-2007d dual sim dark brown",TITLE
"v3.0",BLUETOOTH_VERSION
"16 mb ram",RAM
"54 €",PRICE
"removable li-ion 750 mah battery",BATTERY_CAPACITY
"3.15 mp",CAMERA_BACK
"119 x 50 x 9.8 mm (4.69 x 1.97 x 0.39 in)",PRODUCT_SIZE
"72 g (2.54 oz)",WEIGHT
"tft, 256k colors",SCREEN_TYPE
"2.4 inches (~30.0% screen-to-body ratio)",SCREEN_SIZE
"alcatel pop 3 (5) dual sim 5015d silver",TITLE
"87 €",PRICE
"removable li-ion 1800 mah battery",BATTERY_CAPACITY
"141 x 71.5 x 9.9 mm (5.55 x 2.81 x 0.39 in)",PRODUCT_SIZE
"167 g (5.89 oz)",WEIGHT
"quad-core 1.3 ghz",CPU_CORES
"alcatel pop 3 (5) dual sim 5015d black",TITLE
"alcatel one touch pop star (5) 3g dual sim ot-5022e gray",TITLE
"removable li-ion 2000 mah battery",BATTERY_CAPACITY
"141 x 71.5 x 8.6 mm (5.55 x 2.81 x 0.34 in)",PRODUCT_SIZE
"140 g",WEIGHT
"5.0 inches (~68.4% screen-to-body ratio)",SCREEN_SIZE
"android 5.0 (lollipop)",OS
"alcatel one touch pop star (5) 3g dual sim ot-5022e gold",TITLE
"nokia xl dual sim green",TITLE
"nokia 3 lte 16gb black",TITLE
"159 €",PRICE
"nokia xl dual sim white",TITLE
