TITLE|BLUETOOTH_VERSION|DEVICE_TYPE|SIM_CARD_SLOT|OS|SIM_CARD_TYPE|BRAND|PRICE|WIRELESS_CONNECTIVITY|NETWORK_4G|NETWORK_3G|NETWORK_2G|NETWORK_TYPE|WIFI|BATTERY_CAPACITY|BATTERY_TYPE|RAM|GPU|CPU|CPU_CORES|EXTERNAL_MEMORY|ROM|CAMERA_FRONT|CAMERA_BACK|WEIGHT|PRODUCT_SIZE|SCREEN_SIZE|SCREEN_PPI|SCREEN_TYPE|SCREEN_RESOLUTION
oneplus 3t 4g phablet|bluetooth v4.2 |4g phablet |dual sim,dual standby |oxygenos |dual nano sim |oneplus |$399.99|3g,4g,a-gps,bluetooth,gps,gsm,wifi |fdd b1 2100mhz,fdd b20 800mhz,fdd b3 1800mhz,fdd b5 850mhz,fdd b7 2600mhz,fdd b8 900mhz,tdd b38 2600mhz,tdd b40 2300mhz |wcdma b1 2100mhz,wcdma b2 1900mhz,wcdma b5 850mhz,wcdma b8 900mhz |gsm 1800mhz,gsm 1900mhz,gsm 850mhz,gsm 900mhz |fdd-lte,gsm,tdd-lte,wcdma |802.11a/b/g/n/ac wireless internet |3400mah |non-removable |6gb ram |adreno 530 |qualcomm snapdragon 821 |1.6ghz,2.35ghz,quad core |not supported |64gb |16mp 1.0 µm |16mp 1.12 µm with flash light and af |0.1580 kg |15.27 x 7.47 x 0.74 cm / 6.01 x 2.94 x 0.29 inches |5.5 inch |401|corning gorilla glass |1920 x 1080 (fhd) 
elephone c1 max 4g phablet|v4.0 |4g phablet |dual sim,dual standby |android 7.0 |micro sim card,nano sim card |elephone |$135.2|3g,4g,bluetooth 4.0,gps,gsm,wifi |fdd b1 2100mhz,fdd b20 800mhz,fdd b3 1800mhz,fdd b7 2600mhz,fdd b8 900mhz,tdd b38 2600mhz,tdd b40 2300mhz |wcdma b1 2100mhz,wcdma b8 900mhz |gsm 1800mhz,gsm 1900mhz,gsm 850mhz,gsm 900mhz |fdd-lte,gsm,wcdma |802.11b/g/n wireless internet |2800mah |lithium-ion polymer battery,non-removable |2gb ram |mali-t720 |mtk6737 |1.3ghz,quad core |tf card up to 64gb (not included) |32gb |5.0mp |5.0mp + 13.0mp |0.2280 kg |14.30 x 7.20 x 0.75 cm / 5.63 x 2.83 x 0.3 inches |6.0 inch ||ips |1280 x 720 (hd 720) 
vernee mars pro 4g phablet|v4.0 |phablet |dual sim,dual standby |android 7.0 |micro sim card,nano sim card |vernee |$179.99|3g,4g,a-gps,bluetooth,gps,gsm,wifi |fdd b1 2100mhz,fdd b20 800mhz,fdd b3 1800mhz,fdd b7 2600mhz |wcdma b1 2100mhz,wcdma b8 900mhz |gsm 1800mhz,gsm 850mhz,gsm 900mhz |fdd-lte,gsm,wcdma |802.11a/b/g/n wireless internet |3500mah |non-removable |6gb ram |mali t880 |helio p25 |2.5ghz,octa core |tf card up to 256gb |64gb |5.0mp |13.0mp |0.1610 kg |15.10 x 7.40 x 0.76 cm / 5.94 x 2.91 x 0.3 inches |5.5 inch ||2.5d arc screen,corning gorilla glass 3 |1920 x 1080 (fhd) 
ulefone gemini pro 4g phablet|v4.1 |4g phablet |dual sim,dual standby |android 7.1 |dual nano sim |ulefone |$249.99|2.4ghz/5ghz wifi,3g,4g,bluetooth,gps,gsm |fdd-lte 800/900/1800/2100/2600mhz |wcdma 850/900/1900/2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma+fdd-lte+td-lte |802.11a/b/g/n/ac wireless internet |3680mah |non-removable |4gb ram |mali t880 |mtk6797 |2.6ghz,deca core |tf card up to 256gb |64gb |8.0mp |13.0mp + 13.0mp |0.1810 kg |15.50 x 7.69 x 0.84 cm / 6.1 x 3.03 x 0.33 inches |5.5 inch ||corning gorilla glass 3 |1920 x 1080 (fhd) 
homtom ht37 pro 4g smartphone|v4.0 |4g smartphone |dual sim,dual standby |android 7.0 |micro sim card |homtom |$89.99|3g,4g,bluetooth,gps,gsm,wifi |fdd b1 2100mhz,fdd b20 800mhz,fdd b3 1800mhz,fdd b7 2600mhz |wcdma b1 2100mhz,wcdma b8 900mhz |gsm 1800mhz,gsm 1900mhz,gsm 850mhz,gsm 900mhz |fdd-lte,gsm,wcdma |802.11b/g/n wireless internet |1 x 3000mah ||3gb ram ||mtk6737 |1.3ghz,quad core |tf card up to 64gb (not included) |32gb |5.0mp ( sw 8.0mp ) |8.0mp ( sw 13.0 mp ) |0.1610 kg |14.73 x 7.16 x 0.89 cm / 5.8 x 2.82 x 0.35 inches |5.0 inch ||capacitive |1280 x 720 (hd 720) 
blackview bv6000 4g smartphone|v4.1 |4g smartphone |dual sim,dual standby |android 7.0 |dual micro sim card |blackview |$177.99|3g,4g,gps,gsm,nfc |fdd-lte 800/1800/2100/2600mhz |wcdma 900/1900/2100mhz |gsm 850/900/1800mhz |gsm+wcdma+fdd-lte |802.11b/g/n wireless internet |4200mah built-in battery |lithium-ion polymer battery,non-removable |3gb ram |mali t860mp2 |mtk6755 |2.0ghz,octa core |tf card up to 32gb (not included) |32gb |5.0mp |13.0mp,with flash light and af |0.170 kg |15.23 x 8.10 x 1.66 cm / 6 x 3.19 x 0.65 inches |4.7 inch ||corning gorilla glass 3 |1280 x 720 (hd 720) 
xiaomi mi5s plus 4g phablet|bluetooth v4.2 |4g phablet |dual sim,dual standby |miui 8 |dual nano sim |xiaomi |$360.27|3g,4g,a-gps,bluetooth,dual band wifi,gps,gsm,nfc,wifi |fdd-lte b1/b3/b5/b7 |wcdma b1/b2/b5/b8 |gsm b2/b3/b5/b8 |gsm+cdma+wcdma+td-scdma+fdd-lte+td-lte |802.11a/b/g/n wireless internet |3800mah quick charge 3.0 |non-removable |4gb ram |adreno 530 |qualcomm snapdragon 821 |2.35ghz,quad core |not supported |64gb |4.0mp, f/2.0 |dual 13.0mp with pdaf and dual-tone flash light |0.1710 kg |15.46 x 7.77 x 0.80 cm / 6.09 x 3.06 x 0.31 inches |5.7 inch |386 ppi |2.5d arc screen,capacitive |1920 x 1080 (fhd) 
ulefone armor 4g smartphone|v4.0 |4g smartphone |dual sim,dual standby |android 6.0 |dual micro sim card |ulefone |$149.99|3g,4g,bluetooth,gps,gsm,nfc,wifi |fdd-lte 800/1700/1800/2100/2600mhz |wcdma 850/900/1900/2100mhz |gsm 850/900/1800/1900mhz |gsm+cdma+wcdma+td-scdma+fdd-lte+tdd-lte |802.11a/b/g/n wireless internet |3500mah |lithium-ion polymer battery |3gb ram |mali-t720 |mtk6753 64bit |1.3ghz,octa core |tf card up to 128gb (not included) |32gb |5.0mp |13.0mp,with flash light |0.1950 kg |14.79 x 7.58 x 1.25 cm / 5.82 x 2.98 x 0.49 inches |4.7 inch ||corning gorilla glass 3 |1280 x 720 (hd 720) 
elephone s8 4g phablet|||||||||||||||||||||||||||||
xiaomi redmi 4 4g smartphone|v4.1 |4g smartphone |dual sim,dual standby |miui 8 |micro sim card,nano sim card |xiaomi |$130.74|3g,4g,a-gps,bluetooth,gps,gsm,wifi |fdd-lte band 1/3/7 |wcdma b1/b2/b5/b8 |gsm b2/b3/b5/b8 |gsm+cdma+wcdma+td-scdma+fdd-lte+tdd-lte |802.11a/b/g/n wireless internet |4100mah (typ) / 4000mah (min) |non-removable |2gb ram |adreno 505 |qualcomm snapdragon 430 |1.4ghz,octa core |tf card up to 128gb (not included) |16gb |5.0mp |13.0mp,with flash light and af |0.1550 kg |14.13 x 6.96 x 0.89 cm / 5.56 x 2.74 x 0.35 inches |5.0 inch |296|capacitive |1280 x 720 (hd 720) 
geotel note 4g phablet|v4.0 |4g phablet |dual sim,dual standby |android 6.0 |micro sim card,standard sim card |geotel |$89.99|2.4ghz/5ghz wifi,3g,4g,bluetooth 4.0,gps,gsm |fdd-lte 800/900/1800/2100/2600mhz |wcdma 900/2100mhz |gsm 850/900/1800/1900mhz |fdd-lte+wcdma+gsm |802.11a/b/g/n wireless internet |1 x 3200mah ||3gb ram ||mtk6737 |1.25ghz,quad core |tf card up to 32gb (not included) |16gb |5.0mp ( sw 8.0mp ) |8.0mp ( sw 13.0mp ) |0.1109 kg |15.29 x 7.68 x 0.82 cm / 6.02 x 3.02 x 0.32 inches |5.5 inch ||ips |1280 x 720 (hd 720) 
xiaomi redmi 4x 4g smartphone|bluetooth v4.2 |4g smartphone |dual sim,dual standby |miui 8 |micro sim card,nano sim card |xiaomi ||cdma |fdd-lte b1/b3/b5/b7/b8 |wcdma b1/b2/b5/b8 |gsm b2/b3/b5/b8 |gsm+cdma+wcdma+td-scdma+fdd-lte+td-lte |802.11b/g/n wireless internet |4100mah |non-removable |2gb ram |adreno 505 |snapdragon 435 |1.4ghz,octa core |tf card up to 128gb (not included) |16gb |5.0mp |13.0mp,with flash light and af |0.1480 kg |13.92 x 7.00 x 0.87 cm / 5.48 x 2.76 x 0.34 inches |5.0 inch ||capacitive |1280 x 720 (hd 720) 
homtom ht20 pro 4g smartphone|v4.0 |4g smartphone |dual sim,dual standby |android 6.0 |micro sim card |homtom |$126.99|3g,4g,a-gps,bluetooth 4.0,gps,gsm,lte,wifi |fdd-lte 800/1800/2100/2600mhz |wcdma 900/2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma+lte-fdd |802.11b/g/n wireless internet |1 x 3500mah battery ( 5v / 1a charger） |li-ion battery |3gb ram ||mtk6753 64bit |1.3ghz,octa core |tf card up to 64gb (not included) |32gb |5.0mp ( sw 8.0mp ) |13.0mp ( sw 16.0mp ) |0.2220 kg |15.20 x 7.60 x 1.52 cm / 5.98 x 2.99 x 0.6 inches |4.7 inch ||corning gorilla glass |1280 x 720 (hd 720) 
cubot rainbow 2 3g smartphone|v4.0 |3g smartphone |dual sim,dual standby |android 7.0 |micro sim card |cubot |$64.99|3g,a-gps,bluetooth 4.0,gps,gsm,wifi ||wcdma 900/1900/2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma |802.11b/g/n wireless internet |2350mah built-in ||1gb ram ||mtk6580 |1.3ghz,quad core |tf card up to 256gb |16gb |2.0mp ( sw 5.0mp) |8.0mp ( sw 13.0mp ) + 2.0mp |0.1560 kg |14.40 x 7.20 x 0.83 cm / 5.67 x 2.83 x 0.33 inches |5.0 inch ||ips |1280 x 720 (hd 720) 
elephone c1 max 4g phablet|v4.0 |4g phablet |dual sim,dual standby |android 7.0 |micro sim card,nano sim card |elephone |$119.99|3g,4g,bluetooth 4.0,gps,gsm,wifi |fdd-lte 800/900/1800/2100/2600mhz |wcdma 900/2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma+fdd-lte+td-lte |802.11b/g/n wireless internet |2800mah |lithium-ion polymer battery,non-removable |2gb ram |mali-t720 |mtk6737 |1.3ghz,quad core |tf card up to 64gb (not included) |32gb |5.0mp |5.0mp + 13.0mp |0.2280 kg |16.42 x 8.28 x 0.85 cm / 6.46 x 3.26 x 0.33 inches |6.0 inch ||ips |1280 x 720 (hd 720) 
oukitel u16 max 4g phablet|v4.0 |4g phablet |dual sim,dual standby |android 7.0 |micro sim card,nano sim card |oukitel |$129.99|3g,4g,a-gps,bluetooth 4.0,gps,gsm,wifi |fdd-lte 800/900/1800/2100/2600mhz |wcdma 900/2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma+lte-fdd |802.11a/b/g/n wireless internet |4000mah |non-removable |3gb ram ||mtk6753 64bit |1.3ghz,octa core |tf card up to 32gb (not included) |32gb |5.0mp ( sw 8.0mp ) |13.0mp ( sw 16.0mp ) |0.2250 kg |16.50 x 8.30 x 0.91 cm / 6.5 x 3.27 x 0.36 inches |6.0 inch ||2.5d arc screen |1280 x 720 (hd 720) 
oukitel u20 plus 4g phablet|v4.0 |4g phablet |dual sim,dual standby |android 6.0 |micro sim card,nano sim card |oukitel |$93.99|3g,4g,bluetooth,gps,gsm,wifi |fdd-lte 800/900/1800/2100/2600mhz |wcdma 900/2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma+fdd-lte |802.11a/b/g/n wireless internet |3300mah |non-removable |2gb ram |mali-t720 |mtk6737t |1.5ghz,quad core |tf card up to 128gb (not included) |16gb |5.0mp |13.0mp + 0.3mp |0.1950 kg |15.40 x 7.70 x 0.85 cm / 6.06 x 3.03 x 0.33 inches |5.5 inch ||capacitive,ips |1920 x 1080 (fhd) 
oneplus 3t 4g phablet|bluetooth v4.2 |4g phablet |dual sim,dual standby |oxygenos |dual nano sim |oneplus |$478.96|3g,4g,a-gps,bluetooth,gps,gsm,wifi |fdd b1 2100mhz,fdd b20 800mhz,fdd b3 1800mhz,fdd b5 850mhz,fdd b7 2600mhz,fdd b8 900mhz,tdd b38 2600mhz,tdd b40 2300mhz |wcdma b1 2100mhz,wcdma b2 1900mhz,wcdma b5 850mhz,wcdma b8 900mhz |gsm 1800mhz,gsm 1900mhz,gsm 850mhz,gsm 900mhz |fdd-lte,gsm,tdd-lte,wcdma |802.11a/b/g/n/ac wireless internet |3400mah |non-removable |6gb ram |adreno 530 |qualcomm snapdragon 821 |1.6ghz,2.35ghz,quad core |not supported |64gb |16mp 1.0 µm |16mp 1.12 µm with flash light and af |0.1580 kg |15.27 x 7.47 x 0.74 cm / 6.01 x 2.94 x 0.29 inches |5.5 inch |401|corning gorilla glass |1920 x 1080 (fhd) 
kingzone s3 3g smartphone|v4.0 |3g smartphone |dual sim,dual standby |android 6.0 |micro sim card |kingzone |$67.09|3g,bluetooth 4.0,gps,gsm,wifi ||wcdma 900/2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma |802.11a/b/g/n wireless internet |1 x 2600mah ||1gb ram ||mtk6580 |1.3ghz,quad core |tf card up to 64gb (not included) |16gb |5.0mp |8.0mp |0.1283 kg |14.30 x 7.10 x 0.83 cm / 5.63 x 2.8 x 0.33 inches |5.0 inch ||capacitive,ips |1280 x 720 (hd 720) 
nomu s20 4g smartphone|v4.0 |4g smartphone |dual sim,dual standby |android 6.0 |nano sim card |nomu |$151.8|3g,4g,a-gps,bluetooth 4.0,gps,gsm,wifi |fdd-lte 800/900/1800/2100/2600mhz |wcdma 900/2100mhz |gsm 850/900/1800/1900mhz |fdd-lte+wcdma+gsm |802.11b/g/n wireless internet |3000mah built-in ||3gb ram |mali-t720 |mtk6737 |1.5ghz,quad core |tf card up to 32gb (not included) |32gb |2.0mp ( sw 5.0mp ) |8.0mp ( sw 13.0mp ) with af and flash light |0.1810 kg |14.54 x 7.50 x 1.03 cm / 5.72 x 2.95 x 0.41 inches |5.0 inch ||capacitive,corning gorilla glass 3,ips |1280 x 720 (hd 720) 
geotel note 4g phablet|v4.0 |4g phablet |dual sim,dual standby |android 6.0 |micro sim card,standard sim card |geotel |$89.99|2.4ghz/5ghz wifi,3g,4g,bluetooth 4.0,gps,gsm |fdd-lte 800/900/1800/2100/2600mhz |wcdma 900/2100mhz |gsm 850/900/1800/1900mhz |fdd-lte+wcdma+gsm |802.11a/b/g/n wireless internet |1 x 3200mah ||3gb ram ||mtk6737 |1.25ghz,quad core |tf card up to 32gb (not included) |16gb |5.0mp ( sw 8.0mp ) |8.0mp ( sw 13.0mp ) |0.1109 kg |15.29 x 7.68 x 0.82 cm / 6.02 x 3.02 x 0.32 inches |5.5 inch ||ips |1280 x 720 (hd 720) 
elephone s7 4g phablet||4g phablet |dual sim,dual standby |android 6.0 |dual nano sim |elephone |$199.93|3g,4g,bluetooth 4.0,gps,gsm,wifi |fdd-lte 800/1800/2100/2600mhz tdd-lte 2300/2600mhz |wcdma 900/2100mhz |gsm 850/900/1800/1900mhz |fdd-lte+wcdma+gsm |802.11a/b/g/n wireless internet |3000mah built-in |lithium-ion polymer battery |3gb ram |mali t880 |helio x20 |2.0ghz,deca core |tf card up to 128gb (not included) |32gb |5.0mp |13.0mp |0.1750 kg |15.04 x 7.32 x 0.76 cm / 5.92 x 2.88 x 0.3 inches |5.5 inch ||capacitive,corning gorilla glass 3 |1920 x 1080 (fhd) 
gretel a7 3g smartphone|v4.0 |3g smartphone |dual sim,dual standby |android 6.0 |micro sim card |gretel |$49.99|3g,bluetooth 4.0,gps,gsm,wifi ||wcdma 900/2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma |802.11b/g/n wireless internet |1 x 2000mah ||1gb ram ||mtk6580 |1.3ghz,quad core |tf card up to 32gb (not included) |16gb |2.0mp |8.0mp |0.1270 kg |13.96 x 6.69 x 0.94 cm / 5.5 x 2.63 x 0.37 inches |4.7 inch ||corning gorilla glass,ips |1280 x 720 (hd 720) 
elephone p8 mini 4g smartphone||4g smartphone |dual sim,dual standby |android 7.0 |nano sim card |elephone |$139.99|3g,4g,bluetooth 4.0,gps,gsm,wifi |fdd b1 2100mhz,fdd b20 800mhz,fdd b3 1800mhz,fdd b5 850mhz,fdd b7 2600mhz,tdd b38 2600mhz,tdd b40 2300mhz,tdd b41 2500mhz |wcdma b1 2100mhz,wcdma b20 800mhz,wcdma b8 900mhz |gsm 1800mhz,gsm 1900mhz,gsm 850mhz,gsm 900mhz |fdd-lte,gsm,tdd-lte,wcdma |802.11a/b/g/n wireless internet |2860mah |lithium-ion polymer battery |4gb ram |mali-t860 |mtk6750t |1.5ghz,octa core |tf card up to 128gb (not included) |64gb |16.0mp |13.0mp + 2.0mp |0.1330 kg |14.36 x 7.40 x 0.81 cm / 5.65 x 2.91 x 0.32 inches |5.0 inch ||capacitive |1920 x 1080 (fhd) 
xiaomi redmi note 4x 4g phablet|bluetooth v4.2 |4g phablet |dual sim,dual standby |android 6.0 |micro sim card,nano sim card |xiaomi |$149.99|3g,4g,bluetooth,gps,gsm,lte,wifi |fdd-lte b1/b3/b5/b7/b8 |wcdma b1/b2/b5/b8 |gsm b2/b3/b5/b8 |gsm+cdma+wcdma+td-scdma+fdd-lte+td-lte |802.11a/b/g/n wireless internet |4100mah built-in |||adreno 506 |qualcomm snapdragon 625 (msm8953) |2.0ghz,octa core |tf card up to 128gb (not included) ||5.0mp |13.0mp,with flash light and af |0.1710 kg |15.10 x 7.60 x 0.85 cm / 5.94 x 2.99 x 0.33 inches |5.5 inch ||capacitive |1920 x 1080 (fhd) 
ulefone power 2 4g phablet|v4.0 |4g phablet |dual sim,dual standby |android 7.0 |dual nano sim |ulefone |$159.99|2.4ghz/5ghz wifi,3g,4g,bluetooth,gps |fdd-lte 800/900/1800/2100/2600mhz |wcdma 900/2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma+fdd-lte |802.11a/b/g/n wireless internet |6050mah |non-removable |4gb ram |mali-t860 |mtk6750t |1.5ghz,octa core |tf card up to 256gb |64gb |8.0mp ( sw 13.0mp ) |13.0mp ( sw 16.0mp ) |0.2136 kg |15.50 x 7.76 x 0.99 cm / 6.1 x 3.06 x 0.39 inches |5.5 inch ||corning gorilla glass 3 |1920 x 1080 (fhd) 
bluboo maya 3g phablet||3g smartphone |dual sim |android 6.0 |micro sim card,standard sim card |bluboo |$69.99|3g,a-gps,bluetooth 4.0,gsm,wifi ||wcdma 850/2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma |802.11b/g/n wireless internet |3000mah ||2gb ram |mali-400 mp |mtk6580 |1.3ghz,quad core |tf card up to 32gb (not included) |16gb |8.0mp |13.0mp |0.140 kg |15.40 x 7.80 x 0.85 cm / 6.06 x 3.07 x 0.33 inches |5.5inch ||capacitive,ips |1280 x 720 (hd 720) 
u8 smartwatch watch|||||||$7.99||||||||||||||||||||||
xiaomi redmi 4x 4g smartphone|bluetooth v4.2 |4g smartphone |dual sim,dual standby |miui 8 |micro sim card,nano sim card |xiaomi |$115.99|cdma |fdd-lte b1/b3/b5/b7/b8 |wcdma b1/b2/b5/b8 |gsm b2/b3/b5/b8 |gsm+cdma+wcdma+td-scdma+fdd-lte+td-lte |802.11b/g/n wireless internet |4100mah |non-removable |2gb ram |adreno 505 |snapdragon 435 |1.4ghz,octa core |tf card up to 128gb (not included) |16gb |5.0mp |13.0mp,with flash light and af |0.1480 kg |13.92 x 7.00 x 0.87 cm / 5.48 x 2.76 x 0.34 inches |5.0 inch ||capacitive |1280 x 720 (hd 720) 
ulefone gemini pro 4g phablet|v4.1 |4g phablet |dual sim,dual standby |android 7.1 |dual nano sim |ulefone |$249.99|2.4ghz/5ghz wifi,3g,4g,bluetooth,gps,gsm |fdd-lte 800/900/1800/2100/2600mhz |wcdma 850/900/1900/2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma+fdd-lte+td-lte |802.11a/b/g/n/ac wireless internet |3680mah |non-removable |4gb ram |mali t880 |mtk6797 |2.6ghz,deca core |tf card up to 256gb |64gb |8.0mp |13.0mp + 13.0mp |0.1810 kg |15.50 x 7.69 x 0.84 cm / 6.1 x 3.03 x 0.33 inches |5.5 inch ||corning gorilla glass 3 |1920 x 1080 (fhd) 
elephone s3 4g smartphone|v4.0 |4g smartphone |dual sim,dual standby |android 6.0 |micro sim card,nano sim card |elephone |$184.86|3g,4g,bluetooth,gps,gsm,wifi |fdd-lte 800/1800/2100/2600mhz |wcdma 900/1900/2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma+fdd-lte |802.11b/g/n wireless internet |2100mah |non-removable |3gb ram |mali-t720 |mtk6753 64bit |1.3ghz,octa core |tf card up to 128gb (not included) |16gb |5.0mp |13.0mp,with flash light |0.170 kg |14.20 x 7.05 x 0.83 cm / 5.59 x 2.78 x 0.33 inches |5.2 inch ||capacitive |1920 x 1080 (fhd) 
xiaomi redmi note 4x 4g phablet international version|bluetooth v4.2 |4g phablet |dual sim,dual standby |android 6.0 |micro sim card,nano sim card |xiaomi |$182.18|3g,4g,bluetooth,gps,gsm,lte,wifi |fdd-lte b1/b3/b5/b7/b8 |wcdma b1/b2/b5/b8 |gsm b2/b3/b5/b8 |gsm+cdma+wcdma+td-scdma+fdd-lte+td-lte |802.11a/b/g/n wireless internet |4100mah(typ) / 4000mah(min) built-in ||3gb ram |adreno 506 |qualcomm snapdragon 625 (msm8953) |2.0ghz,octa core |tf card up to 128gb (not included) |16gb |5.0mp |13.0mp,with flash light and af |0.1650 kg |15.10 x 7.60 x 0.84 cm / 5.94 x 2.99 x 0.33 inches |5.5 inch ||capacitive |1920 x 1080 (fhd) 
asus zenfone selfie zd551kl 4g phablet||4g smartphone |dual sim,dual standby |android 5.0 |dual micro sim card |asus |$129.99|3g,4g,a-gps,bluetooth 4.0,gps,gsm,wifi |fdd-lte 1800/2100mhz |wcdma 850/900/1900/2100mhz |gsm 850/900/1800/1900mhz |fdd-lte+wcdma+gsm |802.11a/b/g/n/ac wireless internet |3000mah |lithium-ion polymer battery,non-removable |3gb ram |adreno-405 |msm8939 64bit |1.5ghz,1ghz,octa core |tf card up to 128gb (not included) |16gb |13.0mp |13.0mp |0.1682 kg |15.65 x 7.72 x 1.08 cm / 6.16 x 3.04 x 0.43 inches |5.5 inch ||capacitive,corning gorilla glass,ips |1920 x 1080 (fhd) 
xiaomi mi5s plus 4g phablet 64gb rom|bluetooth v4.2 |4g phablet |dual sim,dual standby |miui 8 |dual nano sim |xiaomi |$362.32|3g,4g,a-gps,bluetooth,dual band wifi,gps,gsm,nfc,wifi |fdd-lte b1/b3/b5/b7 |wcdma b1/b2/b5/b8 |gsm b2/b3/b5/b8 |gsm+cdma+wcdma+fdd-lte+td-lte |802.11a/b/g/n wireless internet |3800mah quick charge 3.0 |non-removable |4gb ram |adreno 530 |qualcomm snapdragon 821 |2.35ghz,quad core |not supported |64gb |4.0mp, f / 2.0 |dual 13.0mp with pdaf and dual-tone flash light |0.1710 kg |15.46 x 7.77 x 0.80 cm / 6.09 x 3.06 x 0.31 inches |5.7 inch |386 ppi |2.5d arc screen,capacitive |1920 x 1080 (fhd) 
elephone p9000 4g phablet|v4.0 |4g phablet |dual sim,dual standby |android 6.0 |dual micro sim card |elephone |$230.31|4g,a-gps,bluetooth 4.0,gps,wifi |fdd-lte 800/900/1800/2100/2600mhz |wcdma 850/900/1900/2100mhz |gsm 850/900/1800/1900mhz |fdd-lte+wcdma+gsm |802.11a/b/g/n wireless internet |1 x 3000mah |lithium-ion polymer battery |4gb ram |mali t860mp2 |mtk6755 |2.0ghz,octa core |tf card up to 256gb |32gb |8.0mp |13.0mp |0.1450 kg |14.84 x 7.32 x 0.73 cm / 5.84 x 2.88 x 0.29 inches |5.5 inch ||capacitive |1920 x 1080 (fhd) 
xiaomi redmi note 4 4g phablet|bluetooth v4.2 |4g phablet |dual sim,dual standby |miui 8 |micro sim card,nano sim card |xiaomi |$173.99|3g,4g,bluetooth,gps,gsm,wifi |fdd-lte b1/b3/b5/b7/b8 |wcdma b1/b2/b5/b8 |gsm b2/b3/b8 |gsm+cdma+wcdma+td-scdma+fdd-lte+td-lte |802.11a/b/g/n/ac wireless internet |4100mah |lithium-ion polymer battery,non-removable |3gb ram |mali t880 |helio x20 |2.1ghz,deca core |tf card up to 128gb (not included) |64gb |5.0mp |13.0mp,with flash light and af |0.1730 kg |15.10 x 7.60 x 0.84 cm / 5.94 x 2.99 x 0.33 inches |5.5 inch |401|2.5d arc screen |1920 x 1080 (fhd) 
oukitel c5 pro 4g smartphone|v4.0 |4g smartphone |dual sim,dual standby |android 6.0 |dual micro sim card |oukitel |$69.99|3g,4g,bluetooth,gps,gsm,wifi |fdd-lte 800/1800/2100/2600mhz |wcdma 900/2100mhz |gsm 850/900/1800/1900mhz |fdd-lte+wcdma+gsm |802.11b/g/n wireless internet |1 x 2000mah ||2gb ram ||mtk6737 |1.3ghz,quad core |tf card up to 32gb (not included) |16gb |2.0mp ( sw 5.0mp ) |5.0mp ( sw 8.0mp ) |0.1380 kg |14.40 x 7.20 x 0.93 cm / 5.67 x 2.83 x 0.37 inches |5.0 inch ||2.5d arc screen |1280 x 720 (hd 720) 
oukitel k6000 plus 4g phablet|v4.1 |4g phablet |dual sim,dual standby |android 7.0 |nano sim card |oukitel |$169.99|3g,4g,bluetooth,gps,wifi |fdd-lte 800/900/1800/2100/2600mhz |wcdma 900/2100mhz |gsm 850/900/1800/1900mhz |fdd-lte+wcdma+gsm |802.11b/g/n wireless internet |6080mah |non-removable |4gb ram |mali t860mp2 |mtk6750t |1.5ghz,octa core |tf card up to 256gb |64gb |8.0mp |16.0mp,with flash light and af |0.2100 kg |15.70 x 7.60 x 0.98 cm / 6.18 x 2.99 x 0.39 inches |5.5 inch ||capacitive |1920 x 1080 (fhd) 
oukitel u7 plus 4g phablet|v4.0 |4g phablet |dual sim,dual standby |android 6.0 |dual micro sim card |oukitel |$85.45|3g,4g,bluetooth 4.0,gps,gsm,wifi |fdd-lte 800/900/1800/2100/2600mhz |wcdma 900/2100mhz |gsm 850/900/1800/1900mhz |fdd-lte+wcdma+gsm |802.11a/b/g/n wireless internet |1 x 2500mah ||2gb ram ||mtk6737 |1.3ghz,quad core |tf card up to 32gb (not included) |16gb |2.0mp (sw 5.0mp) |8.0mp (sw 13.0mp) |0.200 kg |15.80 x 7.80 x 0.90 cm / 6.22 x 3.07 x 0.35 inches |5.5 inch ||capacitive |1280 x 720 (hd 720) 
vkworld mix+ 4g phablet|v4.0 |4g phablet |dual sim,dual standby |android 7.0 |micro sim card |vkworld ||3g,4g,bluetooth,gps,wifi |fdd b1 2100mhz,fdd b3 1800mhz,fdd b7 2600mhz,tdd b19 800mhz |wcdma b1 2100mhz,wcdma b5 850mhz |gsm 1800mhz,gsm 1900mhz,gsm 850mhz,gsm 900mhz |fdd-lte,gsm,wcdma |802.11b/g/n wireless internet |2850mah |non-removable |3gb ram ||mtk6737 |1.3ghz,quad core |tf card up to 64gb (not included) |32gb |5.0mp |13.0mp |0.1620 kg |14.40 x 7.15 x 0.89 cm / 5.67 x 2.81 x 0.35 inches |5.5 inch ||corning gorilla glass,ips |1440 x 720 
